# 17Lands Public Datasets（CC BY 4.0）の PremierDraft 一覧。列は expansion / last_updated / draft_data の URL / game_data の URL。
# 出所は 17Lands（https://www.17lands.com/）の Public Datasets のページ。生の CSV はこのリポジトリに含めない。
STX	2021-06-30	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.STX.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.STX.PremierDraft.csv.gz
AFR	2021-08-02	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.AFR.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.AFR.PremierDraft.csv.gz
MID	2021-10-24	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.MID.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.MID.PremierDraft.csv.gz
VOW	2022-01-26	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.VOW.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.VOW.PremierDraft.csv.gz
NEO	2022-03-11	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.NEO.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.NEO.PremierDraft.csv.gz
SNC	2022-07-06	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.SNC.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.SNC.PremierDraft.csv.gz
HBG	2022-07-29	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.HBG.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.HBG.PremierDraft.csv.gz
DMU	2022-10-26	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.DMU.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.DMU.PremierDraft.csv.gz
BRO	2022-12-14	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.BRO.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.BRO.PremierDraft.csv.gz
ONE	2023-02-28	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.ONE.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.ONE.PremierDraft.csv.gz
SIR	2023-04-18	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.SIR.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.SIR.PremierDraft.csv.gz
MOM	2023-06-14	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.MOM.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.MOM.PremierDraft.csv.gz
LTR	2023-08-30	https://17lands-public.s3.amazonaws.com/analysis_data/draft_data/draft_data_public.LTR.PremierDraft.csv.gz	https://17lands-public.s3.amazonaws.com/analysis_data/game_data/game_data_public.LTR.PremierDraft.csv.gz
