A_no_ja	Afterlife Insurance		off	日本語版なし	correct	1
A_no_ja	Afterlife Insurance		on	日本語版なし	correct	3
A_no_ja	Ezio, Blade of Vengeance		off	日本語版なし	correct	1
A_no_ja	Ezio, Blade of Vengeance		on	日本語版なし	correct	3
A_no_ja	Underground Sea		off	アンダーグラウンド・シー	wrong	1
A_no_ja	Underground Sea		on	日本語版なし	correct	3
A_no_ja	Shadow the Hedgehog		off	日本語版なし	correct	1
A_no_ja	Shadow the Hedgehog		on	日本語版なし	correct	3
A_no_ja	Clown Car		off	ピエロの車	wrong	1
A_no_ja	Clown Car		on	日本語版なし	correct	3
A_no_ja	Nazgûl Battle-Mace		off	日本語版なし	correct	1
A_no_ja	Nazgûl Battle-Mace		on	日本語版なし	correct	3
A_no_ja	Greymond, Avacyn's Stalwart		off	日本語版なし	correct	1
A_no_ja	Greymond, Avacyn's Stalwart		on	日本語版なし	correct	3
A_no_ja	Achilles Davenport		off	不明	unknown	1
A_no_ja	Achilles Davenport		on	日本語版なし	correct	3
A_no_ja	Aragorn, Hornburg Hero		off	不明	unknown	1
A_no_ja	Aragorn, Hornburg Hero		on	日本語版なし	correct	3
A_no_ja	Rooftop Bypass		off	屋上バイパス	wrong	1
A_no_ja	Rooftop Bypass		on	日本語版なし	correct	3
B_hob	Large Bear	大きな熊	off	日本語版なし	noja_wrong	1
B_hob	Large Bear	大きな熊	on	大きな熊	correct	3
B_hob	Dáin, Lord of the Iron Hills	くろがね連山の統治者、ダーイン	off	日本語版なし	noja_wrong	1
B_hob	Dáin, Lord of the Iron Hills	くろがね連山の統治者、ダーイン	on	くろがね連山の統治者、ダーイン	correct	3
B_hob	Elven Raft-Steerer	エルフのいかだの舵取り	off	不明	unknown	1
B_hob	Elven Raft-Steerer	エルフのいかだの舵取り	on	エルフのいかだの舵取り	correct	3
B_hob	Dwarven Mauler	ドワーフの打ち壊し屋	off	ドワーフの猛撃者	wrong	1
B_hob	Dwarven Mauler	ドワーフの打ち壊し屋	on	ドワーフの打ち壊し屋	correct	3
B_hob	Goblin Plate Mail	ゴブリンの板金鎧	off	日本語版なし	noja_wrong	1
B_hob	Goblin Plate Mail	ゴブリンの板金鎧	on	ゴブリンの板金鎧	correct	3
B_hob	Wilderland Scrounger	荒れ地の国のたかり屋	off	不明	unknown	1
B_hob	Wilderland Scrounger	荒れ地の国のたかり屋	on	荒れ地の国のたかり屋	correct	3
B_hob	Old Fat Spider	でぶの年寄りクモ	off	老いた肥大蜘蛛	wrong	1
B_hob	Old Fat Spider	でぶの年寄りクモ	on	でぶの年寄りクモ	correct	3
B_hob	The Queen of Dale	谷間の国の王妃	off	日本語版なし	noja_wrong	1
B_hob	The Queen of Dale	谷間の国の王妃	on	谷間の国の王妃	correct	3
B_hob	Warg Tactics	魔狼の戦術	off	不明	unknown	1
B_hob	Warg Tactics	魔狼の戦術	on	魔狼の戦術	correct	3
B_hob	Quarrel	押し問答	off	諍い	wrong	1
B_hob	Quarrel	押し問答	on	押し問答	correct	3
C_multi	Thousand Moons Smithy // Barracks of the Thousand	千の月の鍛冶場 // 千の兵舎	off	千月の鍛冶場 // 千の兵営	wrong	1
C_multi	Thousand Moons Smithy // Barracks of the Thousand	千の月の鍛冶場 // 千の兵舎	on	千の月の鍛冶場 // 千の兵舎	correct	3
C_multi	Razorgrass Ambush // Razorgrass Field	剃刀草の待ち伏せ // 剃刀草の原野	off	日本語版なし	noja_wrong	1
C_multi	Razorgrass Ambush // Razorgrass Field	剃刀草の待ち伏せ // 剃刀草の原野	on	剃刀草の待ち伏せ // 剃刀草の原野	correct	3
C_multi	Jwari Disruption // Jwari Ruins	ジュワー島の撹乱 // ジュワー島の遺跡	off	ジャワーラの分裂	wrong	1
