opus	low	401	True	8	8				9	30
opus	low	402	True	8	8				10	34
opus	low	403	True	16	16				15	54
opus	low	404	True	27	27				10	58
opus	low	405	True	22	22				6	27
opus	low	406	True	21	21				6	33
opus	low	407	True	1	1				5	19
opus	low	408	True	1	1				11	46
opus	low	409	False	11	10				10	41
opus	low	410	True	8	8				11	34
opus	low	411	True	22	22				6	29
opus	low	412	True	20	20				11	53
opus	low	413	True	27	27				6	37
opus	low	414	True	25	25				6	30
opus	low	415	True	2	2				5	15
opus	low	416	True	15	15				11	38
opus	low	417	True	11	11				9	28
opus	low	418	True	7	7				9	28
opus	low	419	True	21	21				6	24
opus	low	420	True	27	27				11	45
opus	low	421	True	22	22				6	29
opus	low	422	True	25	25				6	23
opus	low	423	True	1	1				6	21
opus	low	424	True	16	16				13	50
opus	low	425	True	9	9				9	34
opus	low	426	True	12	12				8	41
opus	low	427	True	29	29				6	31
opus	low	428	True	26	26				10	48
opus	low	429	True	26	26				6	24
opus	low	430	True	25	25				5	25
opus	low	431	True	10	10				11	39
opus	low	432	True	11	11				12	46
opus	low	433	True	6	6				7	25
opus	low	434	True	7	7				8	23
opus	low	435	True	16	16				5	23
opus	low	436	True	25	25				11	58
opus	low	437	True	32	32				10	55
opus	low	438	True	24	24				6	26
opus	low	439	True	1	1				9	24
opus	low	440	True	11	11				11	50
opus	low	441	True	8	8				8	30
opus	low	442	True	7	7				10	36
opus	low	443	True	14	14				5	22
opus	low	444	True	28	28				9	49
opus	low	445	True	29	29				6	31
opus	low	446	True	19	19				6	24
opus	low	447	True	1	1				8	28
opus	low	448	True	16	16				12	44
opus	low	449	True	7	7				7	28
opus	low	450	True	9	9				9	26
opus	low	451	True	23	23				11	44
opus	low	452	True	27	27				10	51
opus	low	453	True	22	22				8	38
opus	low	454	True	27	27				5	28
opus	low	455	True	1	1				6	26
opus	low	456	True	5	5				13	53
opus	low	457	True	5	5				6	21
opus	low	458	True	18	18				8	35
opus	low	459	True	29	29				10	54
opus	low	460	True	14	14				6	29
opus	low	461	True	21	21				6	27
opus	low	462	True	1	1				6	18
opus	low	463	False	10	9		Living End	死せる生	11	40
opus	low	464	True	10	10				7	25
opus	low	465	True	12	12				8	34
opus	low	466	True	20	20				10	46
opus	low	467	True	22	22				6	28
opus	low	468	True	21	21				5	27
opus	low	469	True	1	1				6	22
opus	low	470	True	16	16				11	50
opus	low	471	True	10	10				8	27
opus	low	472	True	25	25				17	62
opus	low	473	True	29	29				10	58
opus	low	474	True	20	20				6	28
opus	low	475	True	23	23				6	27
opus	low	476	True	1	1				6	21
opus	low	477	True	10	10				11	37
opus	low	478	True	7	7				6	20
opus	low	479	True	24	24				6	31
opus	low	480	True	28	28				11	67
opus	low	481	True	22	22				6	26
opus	low	482	True	21	21				5	23
opus	low	483	True	1	1				6	17
opus	low	484	True	9	9				11	48
opus	low	485	False	9	8				7	29
opus	low	486	True	26	26				9	43
opus	low	487	True	33	33				11	55
opus	low	488	True	16	16				6	30
opus	low	489	True	24	24				7	28
opus	low	490	True	1	1				4	12
opus	low	491	True	14	14				12	59
opus	low	492	True	7	7				9	30
opus	low	493	True	21	21				8	43
opus	low	494	True	28	28				9	44
opus	low	495	True	23	23				6	26
opus	low	496	True	22	22				6	28
opus	low	497	True	1	1				6	22
opus	low	498	True	19	19				12	49
opus	low	499	True	9	9				9	30
opus	low	500	True	19	19				6	26
