id,template,question,note
1301,T2_partner_ja,スタンダードで《黙示録、シェオルドレッド》と一緒に入るカードは？,"card=Sheoldred, the Apocalypse"
1302,T3_edh_partner,統率者戦で《運命の大嵐、ドラゴンホーク》を使うデッキでよく一緒に使われるカードは？,"card=Dragonhawk, Fate's Tempest"
1303,T4_legal_bare,レガシーで溜め込み屋のアウフはまだ使える？,card=Collector Ouphe（裸の日本語名で問う）
1304,T5_en_question,Memory's Journey はどのフォーマットのどんなデッキで使われてる？,card=Memory's Journey
1305,T9_comma,スタンダードで《夜明けの空、猗旺》と一緒によく使われるカードは？,"card=Ao, the Dawn Sky（読点入り）"
1306,T2_partner_ja,プレモダンで《クローサの拳カマール》と一緒に入るカードは？,"card=Kamahl, Fist of Krosa"
1307,T3_edh_partner,統率者戦で《原初の嵐、エターリ》を使うデッキでよく一緒に使われるカードは？,"card=Etali, Primal Storm"
1308,T4_legal_bare,プレモダンでクローサの拳カマールはまだ使える？,"card=Kamahl, Fist of Krosa（裸の日本語名で問う）"
1309,T5_en_question,Hex Magic はどのフォーマットのどんなデッキで使われてる？,card=Hex Magic
1310,T9_comma,レガシーで《冷酷な船長、テゼレット》と一緒によく使われるカードは？,"card=Tezzeret, Cruel Captain（読点入り）"
1311,T2_partner_ja,パウパーで《中休み》と一緒に入るカードは？,card=Respite
1312,T3_edh_partner,統率者戦で《魅惑の悪漢、マルコム》を使うデッキでよく一緒に使われるカードは？,"card=Malcolm, Alluring Scoundrel"
1313,T4_legal_bare,プレモダンで翻弄する魔道士はまだ使える？,card=Meddling Mage（裸の日本語名で問う）
1314,T5_en_question,Amped Raptor はどのフォーマットのどんなデッキで使われてる？,card=Amped Raptor
1315,T9_comma,パイオニアで《策謀の予見者、ラフィーン》と一緒によく使われるカードは？,"card=Raffine, Scheming Seer（読点入り）"
1316,T2_partner_ja,レガシーで《最後の審判》と一緒に入るカードは？,card=Doomsday
1317,T3_edh_partner,統率者戦で《太陽の執事長、インティ》を使うデッキでよく一緒に使われるカードは？,"card=Inti, Seneschal of the Sun"
1318,T4_legal_bare,スタンダードで腹黒茸はまだ使える？,card=Insidious Fungus（裸の日本語名で問う）
1319,T5_en_question,Deranged Hermit はどのフォーマットのどんなデッキで使われてる？,card=Deranged Hermit
1320,T9_comma,ヴィンテージで《覆いを割く者、ナーセット》と一緒によく使われるカードは？,"card=Narset, Parter of Veils（読点入り）"
1321,T2_partner_ja,パイオニアで《大渦の脈動》と一緒に入るカードは？,card=Maelstrom Pulse
1322,T3_edh_partner,統率者戦で《語りの神、ビルギ // 豊潤の角杯、ハーンフェル》を使うデッキでよく一緒に使われるカードは？,"card=Birgi, God of Storytelling // Harnfel, Horn of Bounty"
1323,T4_legal_bare,パウパーで巧みな回避はまだ使える？,card=Artful Dodge（裸の日本語名で問う）
1324,T5_en_question,Glimpse the Unthinkable はどのフォーマットのどんなデッキで使われてる？,card=Glimpse the Unthinkable
1325,T9_comma,モダンで《精神を刻む者、ジェイス》と一緒によく使われるカードは？,"card=Jace, the Mind Sculptor（読点入り）"
1326,T2_partner_ja,スタンダードで《星界を呼ぶ者、ゾラリーネ》と一緒に入るカードは？,"card=Zoraline, Cosmos Caller"
1327,T3_edh_partner,統率者戦で《燃えさし爪の使い魔、ケディス》を使うデッキでよく一緒に使われるカードは？,"card=Kediss, Emberclaw Familiar"
1328,T4_legal_bare,レガシーで輪作はまだ使える？,card=Crop Rotation（裸の日本語名で問う）
1329,T5_en_question,Blazing Rootwalla はどのフォーマットのどんなデッキで使われてる？,card=Blazing Rootwalla
1330,T9_comma,スタンダードで《跳ねる春、ベーザ》と一緒によく使われるカードは？,"card=Beza, the Bounding Spring（読点入り）"
1331,T2_partner_ja,プレモダンで《起源》と一緒に入るカードは？,card=Genesis
1332,T3_edh_partner,統率者戦で《ロノムの発掘家、フェルドン》を使うデッキでよく一緒に使われるカードは？,"card=Feldon, Ronom Excavator"
1333,T4_legal_bare,スタンダードで豆の木をのぼれはまだ使える？,card=Up the Beanstalk（裸の日本語名で問う）
1334,T5_en_question,Delighted Halfling はどのフォーマットのどんなデッキで使われてる？,card=Delighted Halfling
1335,T9_comma,スタンダードで《混沌と秩序、マイキーとレオ》と一緒によく使われるカードは？,"card=Mikey & Leo, Chaos & Order（読点入り）"
1336,T2_partner_ja,プレモダンで《蒸気の連鎖》と一緒に入るカードは？,card=Chain of Vapor
1337,T3_edh_partner,統率者戦で《絶え間ない飢餓、ウラモグ》を使うデッキでよく一緒に使われるカードは？,"card=Ulamog, the Ceaseless Hunger"
1338,T4_legal_bare,スタンダードで失われし伝承の歩哨はまだ使える？,card=Sentinel of Lost Lore（裸の日本語名で問う）
1339,T5_en_question,Consider はどのフォーマットのどんなデッキで使われてる？,card=Consider
