id,template,question,note
601,T8_dfc,《幻獣との交わり》を使うデッキはスタンダードでどれくらいある？主なカードも教えて,card=Esper Origins // Summon: Esper Maduin（両面/分割）
602,T9_comma,スタンダードで《岐路に立つアン》と一緒によく使われるカードは？,"card=Aang, at the Crossroads // Aang, Destined Savior（読点入り）"
603,T1_arch_cards,パウパーのRakdos Madness Burnの主要なカードを教えて,archetype=Rakdos Madness Burn decks=53
604,T2_partner_ja,レガシーで《タッサの神託者》と一緒に入るカードは？,card=Thassa's Oracle
605,T3_edh_partner,統率者戦で《折れた刃、ギセラ》を使うデッキでよく一緒に使われるカードは？,"card=Gisela, the Broken Blade"
606,T4_legal_bare,ヴィンテージで銀打ちのグールはまだ使える？,card=Silversmote Ghoul（裸の日本語名で問う）
607,T5_en_question,Jaspera Sentinel はどのフォーマットのどんなデッキで使われてる？,card=Jaspera Sentinel
608,T6_arch_lands,パウパーのGolgari / Jund Gardenでよく使われる土地を5枚挙げて,archetype=Golgari / Jund Garden
609,T9_comma,モダンで《カンフーの達人、シャン・チー》と一緒によく使われるカードは？,"card=Shang-Chi, Master of Kung Fu（読点入り）"
610,T1_arch_cards,スタンダードのSuperior Doomsdayの主要なカードを教えて,archetype=Superior Doomsday decks=126
611,T2_partner_ja,パウパーで《血管の施し》と一緒に入るカードは？,card=Alms of the Vein
612,T3_edh_partner,統率者戦で《朱地洞の族長、トーブラン》を使うデッキでよく一緒に使われるカードは？,"card=Torbran, Thane of Red Fell"
613,T4_legal_bare,パイオニアで傷残す批評はまだ使える？,card=Traumatic Critique（裸の日本語名で問う）
614,T5_en_question,Quantum Riddler はどのフォーマットのどんなデッキで使われてる？,card=Quantum Riddler
615,T6_arch_lands,レガシーのDimir Tempoでよく使われる土地を5枚挙げて,archetype=Dimir Tempo
616,T9_comma,レガシーで《アーチリッチ、アサーラック》と一緒によく使われるカードは？,card=Acererak the Archlich（読点入り）
617,T1_arch_cards,ヴィンテージのEsper Lurrusの主要なカードを教えて,archetype=Esper Lurrus decks=79
618,T2_partner_ja,プレモダンで《断絶》と一緒に入るカードは？,card=Snap
619,T3_edh_partner,統率者戦で《炎の踊り手、アシュリング》を使うデッキでよく一緒に使われるカードは？,"card=Ashling, Flame Dancer"
620,T4_legal_bare,パイオニアで沼地のハンター、レザーヘッドはまだ使える？,"card=Leatherhead, Swamp Stalker（裸の日本語名で問う）"
621,T5_en_question,Phyrexian Arena はどのフォーマットのどんなデッキで使われてる？,card=Phyrexian Arena
622,T6_arch_lands,パウパーのSnow Jeskai Ephemerateでよく使われる土地を5枚挙げて,archetype=Snow Jeskai Ephemerate
623,T9_comma,パイオニアで《至高の者、ニヴ＝ミゼット》と一緒によく使われるカードは？,"card=Niv-Mizzet, Supreme（読点入り）"
624,T1_arch_cards,モダンのEsper Blinkの主要なカードを教えて,archetype=Esper Blink decks=79
625,T2_partner_ja,パウパーで《サディスト的喜び》と一緒に入るカードは？,card=Sadistic Glee
626,T3_edh_partner,統率者戦で《ウェザーライトの艦長、ジョイラ》を使うデッキでよく一緒に使われるカードは？,"card=Jhoira, Weatherlight Captain"
627,T4_legal_bare,レガシーで変化の狂信者はまだ使える？,card=Metamorphosis Fanatic（裸の日本語名で問う）
628,T5_en_question,Embiggen はどのフォーマットのどんなデッキで使われてる？,card=Embiggen（日本語版なし）
629,T6_arch_lands,パイオニアのGreasefang Parhelionでよく使われる土地を5枚挙げて,archetype=Greasefang Parhelion
630,T9_comma,パウパーで《ビッグ・ブラザー、レオナルド》と一緒によく使われるカードは？,"card=Leonardo, Big Brother（読点入り）"
631,T1_arch_cards,レガシーのAlurenの主要なカードを教えて,archetype=Aluren decks=51
632,T2_partner_ja,パイオニアで《太陽の執事長、インティ》と一緒に入るカードは？,"card=Inti, Seneschal of the Sun"
633,T3_edh_partner,統率者戦で《機械細工の学者、ロシール》を使うデッキでよく一緒に使われるカードは？,"card=Losheel, Clockwork Scholar"
634,T4_legal_bare,スタンダードでウロボロイドはまだ使える？,card=Ouroboroid（裸の日本語名で問う）
635,T5_en_question,"Karn, the Great Creator はどのフォーマットのどんなデッキで使われてる？","card=Karn, the Great Creator"
