id,template,question,note
1001,T9_comma,モダンで《迷い子、フブルスプ》と一緒によく使われるカードは？,"card=Fblthp, the Lost（読点入り）"
1002,T1_arch_cards,モダンのEsper Blinkの主要なカードを教えて,archetype=Esper Blink decks=85
1003,T2_partner_ja,ヴィンテージで《無のロッド》と一緒に入るカードは？,card=Null Rod
1004,T3_edh_partner,統率者戦で《パルン、ニヴ＝ミゼット》を使うデッキでよく一緒に使われるカードは？,"card=Niv-Mizzet, Parun"
1005,T4_legal_bare,レガシーで死の影はまだ使える？,card=Death's Shadow（裸の日本語名で問う）
1006,T5_en_question,Cast into the Fire はどのフォーマットのどんなデッキで使われてる？,card=Cast into the Fire
1007,T6_arch_lands,レガシーのStormでよく使われる土地を5枚挙げて,archetype=Storm
1008,T9_comma,パイオニアで《死の飢えのタイタン、クロクサ》と一緒によく使われるカードは？,"card=Kroxa, Titan of Death's Hunger（読点入り）"
1009,T1_arch_cards,パウパーのMadness Burnの主要なカードを教えて,archetype=Madness Burn decks=172
1010,T2_partner_ja,スタンダードで《突き刺し》と一緒に入るカードは？,card=Stab
1011,T3_edh_partner,統率者戦で《穢すもの、ウラモグ》を使うデッキでよく一緒に使われるカードは？,"card=Ulamog, the Defiler"
1012,T4_legal_bare,スタンダードで氷魔法の秘宝はまだ使える？,card=Cryogen Relic（裸の日本語名で問う）
1013,T5_en_question,Legion Extruder はどのフォーマットのどんなデッキで使われてる？,card=Legion Extruder
1014,T6_arch_lands,モダンのBroodscale Bloodchiefでよく使われる土地を5枚挙げて,archetype=Broodscale Bloodchief
1015,T9_comma,パイオニアで《ポルクラノスの再誕》と一緒によく使われるカードは？,"card=Polukranos Reborn // Polukranos, Engine of Ruin（読点入り）"
1016,T1_arch_cards,モダンのUR Aggroの主要なカードを教えて,archetype=UR Aggro decks=72
1017,T2_partner_ja,パウパーで《呪文づまりのスプライト》と一緒に入るカードは？,card=Spellstutter Sprite
1018,T3_edh_partner,統率者戦で《真実の魂の盲信者、ガット》を使うデッキでよく一緒に使われるカードは？,"card=Gut, True Soul Zealot"
1019,T4_legal_bare,スタンダードで万里の渓谷の案内人はまだ使える？,card=Great Divide Guide（裸の日本語名で問う）
1020,T5_en_question,Firebending Lesson はどのフォーマットのどんなデッキで使われてる？,card=Firebending Lesson
1021,T6_arch_lands,モダンのEsper Blinkでよく使われる土地を5枚挙げて,archetype=Esper Blink
1022,T9_comma,スタンダードで《策謀の予見者、ラフィーン》と一緒によく使われるカードは？,"card=Raffine, Scheming Seer（読点入り）"
1023,T1_arch_cards,レガシーのDimir Tempoの主要なカードを教えて,archetype=Dimir Tempo decks=259
1024,T2_partner_ja,スタンダードで《自然の怒りのタイタン、ウーロ》と一緒に入るカードは？,"card=Uro, Titan of Nature's Wrath"
1025,T3_edh_partner,統率者戦で《再鍛の刃、ラエリア》を使うデッキでよく一緒に使われるカードは？,"card=Laelia, the Blade Reforged"
1026,T4_legal_bare,ヴィンテージで天秤はまだ使える？,card=Balance（裸の日本語名で問う）
1027,T5_en_question,Callous Sell-Sword // Burn Together はどのフォーマットのどんなデッキで使われてる？,card=Callous Sell-Sword // Burn Together（日本語版なし）
1028,T6_arch_lands,パイオニアのSelesnya Companyでよく使われる土地を5枚挙げて,archetype=Selesnya Company
1029,T9_comma,スタンダードで《上げ潮、キオーラ》と一緒によく使われるカードは？,"card=Kiora, the Rising Tide（読点入り）"
1030,T1_arch_cards,スタンダードのSelesnya Landfallの主要なカードを教えて,archetype=Selesnya Landfall decks=73
1031,T2_partner_ja,パイオニアで《火の技の修行》と一緒に入るカードは？,card=Firebending Lesson
1032,T3_edh_partner,統率者戦で《最高工匠卿、ウルザ》を使うデッキでよく一緒に使われるカードは？,"card=Urza, Lord High Artificer"
1033,T4_legal_bare,スタンダードで月殺し、ジャオはまだ使える？,"card=Zhao, the Moon Slayer（裸の日本語名で問う）"
1034,T5_en_question,Slumbering Trudge はどのフォーマットのどんなデッキで使われてる？,card=Slumbering Trudge
1035,T6_arch_lands,モダンのAmulet Titanでよく使われる土地を5枚挙げて,archetype=Amulet Titan
1036,T9_comma,レガシーで《絶え間ない飢餓、ウラモグ》と一緒によく使われるカードは？,"card=Ulamog, the Ceaseless Hunger（読点入り）"
1037,T1_arch_cards,ヴィンテージのCoveted Jewelの主要なカードを教えて,archetype=Coveted Jewel decks=109
1038,T2_partner_ja,プレモダンで《ゴブリン巡視部隊》と一緒に入るカードは？,card=Goblin Patrol
1039,T3_edh_partner,統率者戦で《朱地洞の族長、トーブラン》を使うデッキでよく一緒に使われるカードは？,"card=Torbran, Thane of Red Fell"
1040,T4_legal_bare,スタンダードで刻み群れはまだ使える？,card=Sunderflock（裸の日本語名で問う）
1041,T5_en_question,Sylvan Caryatid はどのフォーマットのどんなデッキで使われてる？,card=Sylvan Caryatid
