id,template,question,note
1101,T2_partner_ja,スタンダードで《呪文どもり》と一緒に入るカードは？,card=Spell Stutter
1102,T3_edh_partner,統率者戦で《黄金牙、タシグル》を使うデッキでよく一緒に使われるカードは？,"card=Tasigur, the Golden Fang"
1103,T4_legal_bare,スタンダードで迷路での迷子はまだ使える？,card=Lost in the Maze（裸の日本語名で問う）
1104,T5_en_question,"Ral Zarek, Guest Lecturer はどのフォーマットのどんなデッキで使われてる？","card=Ral Zarek, Guest Lecturer"
1105,T9_comma,スタンダードで《沼地のハンター、レザーヘッド》と一緒によく使われるカードは？,"card=Leatherhead, Swamp Stalker（読点入り）"
1106,T2_partner_ja,パウパーで《逆説の受諾》と一緒に入るカードは？,card=Embrace the Paradox
1107,T3_edh_partner,統率者戦で《策謀の予見者、ラフィーン》を使うデッキでよく一緒に使われるカードは？,"card=Raffine, Scheming Seer"
1108,T4_legal_bare,プレモダンで妨害はまだ使える？,card=Thwart（裸の日本語名で問う）
1109,T5_en_question,Beseech the Mirror はどのフォーマットのどんなデッキで使われてる？,card=Beseech the Mirror
1110,T9_comma,スタンダードで《灰毛の天才、オーロック博士》と一緒によく使われるカードは？,"card=Doc Aurlock, Grizzled Genius（読点入り）"
1111,T2_partner_ja,レガシーで《願い爪のタリスマン》と一緒に入るカードは？,card=Wishclaw Talisman
1112,T3_edh_partner,統率者戦でKnuckles the Echidnaを使うデッキでよく一緒に使われるカードは？,card=Knuckles the Echidna
1113,T4_legal_bare,スタンダードで鮮麗はまだ使える？,card=Vibrance（裸の日本語名で問う）
1114,T5_en_question,Thermokarst はどのフォーマットのどんなデッキで使われてる？,card=Thermokarst（日本語版なし）
1115,T9_comma,スタンダードで《龍へと昇る者、サルカン》と一緒によく使われるカードは？,"card=Sarkhan, Dragon Ascendant（読点入り）"
1116,T2_partner_ja,プレモダンで《なだれ乗り》と一緒に入るカードは？,card=Avalanche Riders
1117,T3_edh_partner,統率者戦で《月皇の司令官、オドリック》を使うデッキでよく一緒に使われるカードは？,"card=Odric, Lunarch Marshal"
1118,T4_legal_bare,モダンで荒景学院の戦闘魔道士はまだ使える？,card=Wastescape Battlemage（裸の日本語名で問う）
1119,T5_en_question,Static Prison はどのフォーマットのどんなデッキで使われてる？,card=Static Prison
1120,T9_comma,スタンダードで《太陽の執事長、インティ》と一緒によく使われるカードは？,"card=Inti, Seneschal of the Sun（読点入り）"
1121,T2_partner_ja,プレモダンで《ゴブリンの名手》と一緒に入るカードは？,card=Goblin Sharpshooter
1122,T3_edh_partner,統率者戦で《動物学者、ベニー・ブラックス》を使うデッキでよく一緒に使われるカードは？,"card=Bennie Bracks, Zoologist"
1123,T4_legal_bare,パウパーで実験統合機はまだ使える？,card=Experimental Synthesizer（裸の日本語名で問う）
1124,T5_en_question,Deep Analysis はどのフォーマットのどんなデッキで使われてる？,card=Deep Analysis
1125,T9_comma,ヴィンテージで《トレストの使者、レオヴォルド》と一緒によく使われるカードは？,"card=Leovold, Emissary of Trest（読点入り）"
1126,T2_partner_ja,モダンで《呪文貫き》と一緒に入るカードは？,card=Spell Pierce
1127,T3_edh_partner,統率者戦で《財宝使い、マグダ》を使うデッキでよく一緒に使われるカードは？,"card=Magda, the Hoardmaster"
1128,T4_legal_bare,モダンで精神石はまだ使える？,card=Mind Stone（裸の日本語名で問う）
1129,T5_en_question,"Page, Loose Leaf はどのフォーマットのどんなデッキで使われてる？","card=Page, Loose Leaf"
1130,T9_comma,パイオニアで《迷える黒魔道士、ビビ》と一緒によく使われるカードは？,card=Vivi Ornitier（読点入り）
1131,T2_partner_ja,スタンダードで《上げ潮、キオーラ》と一緒に入るカードは？,"card=Kiora, the Rising Tide"
1132,T3_edh_partner,統率者戦で《東の樹の木霊》を使うデッキでよく一緒に使われるカードは？,card=Kodama of the East Tree
1133,T4_legal_bare,パイオニアで至高の評決はまだ使える？,card=Supreme Verdict（裸の日本語名で問う）
1134,T5_en_question,Consider はどのフォーマットのどんなデッキで使われてる？,card=Consider
1135,T9_comma,ヴィンテージで《トラブルメーカー、ラフとマイキー》と一緒によく使われるカードは？,"card=Raph & Mikey, Troublemakers（読点入り）"
1136,T2_partner_ja,ヴィンテージで《冥途灯りの行進》と一緒に入るカードは？,card=March of Otherworldly Light
1137,T3_edh_partner,統率者戦で《トラブルメーカー、ジャクシス》を使うデッキでよく一緒に使われるカードは？,"card=Jaxis, the Troublemaker"
1138,T4_legal_bare,モダンで湖に潜む者、エムリーはまだ使える？,"card=Emry, Lurker of the Loch（裸の日本語名で問う）"
1139,T5_en_question,Ram Through はどのフォーマットのどんなデッキで使われてる？,card=Ram Through
1140,T9_comma,レガシーで《飢餓の潮流、グリスト》と一緒によく使われるカードは？,"card=Grist, the Hunger Tide（読点入り）"
1141,T2_partner_ja,パイオニアで《記憶の氾濫》と一緒に入るカードは？,card=Memory Deluge
1142,T3_edh_partner,統率者戦で《最高工匠卿、ウルザ》を使うデッキでよく一緒に使われるカードは？,"card=Urza, Lord High Artificer"
1143,T4_legal_bare,レガシーで手甲はまだ使える？,card=Shuko（裸の日本語名で問う）
1144,T5_en_question,Hearth Elemental // Stoke Genius はどのフォーマットのどんなデッキで使われてる？,card=Hearth Elemental // Stoke Genius（日本語版なし）
1145,T9_comma,モダンで《機械の母、エリシュ・ノーン》と一緒によく使われるカードは？,"card=Elesh Norn, Mother of Machines（読点入り）"
1146,T2_partner_ja,モダンで《思考囲い》と一緒に入るカードは？,card=Thoughtseize
1147,T3_edh_partner,統率者戦で《第三の道のロラン》を使うデッキでよく一緒に使われるカードは？,card=Loran of the Third Path
1148,T4_legal_bare,ヴィンテージで濁浪の執政はまだ使える？,card=Murktide Regent（裸の日本語名で問う）
1149,T5_en_question,Virtue of Loyalty // Ardenvale Fealty はどのフォーマットのどんなデッキで使われてる？,card=Virtue of Loyalty // Ardenvale Fealty（日本語版なし）
1150,T9_comma,レガシーで《素早き救済者、アン》と一緒によく使われるカードは？,"card=Aang, Swift Savior // Aang and La, Ocean's Fury（読点入り）"
1151,T2_partner_ja,パイオニアで《羽ばたき飛行機械》と一緒に入るカードは？,card=Ornithopter
1152,T3_edh_partner,統率者戦で《天空の刃、セファラ》を使うデッキでよく一緒に使われるカードは？,"card=Sephara, Sky's Blade"
1153,T4_legal_bare,モダンで孤独はまだ使える？,card=Solitude（裸の日本語名で問う）
1154,T5_en_question,Nourishing Shoal はどのフォーマットのどんなデッキで使われてる？,card=Nourishing Shoal
1155,T9_comma,モダンで《解放された者、カーン》と一緒によく使われるカードは？,card=Karn Liberated（読点入り）
1156,T2_partner_ja,パウパーで《黎明運びのクレリック》と一緒に入るカードは？,card=Dawnbringer Cleric
1157,T3_edh_partner,統率者戦で《死の飢えのタイタン、クロクサ》を使うデッキでよく一緒に使われるカードは？,"card=Kroxa, Titan of Death's Hunger"
1158,T4_legal_bare,モダンで突沸の器はまだ使える？,card=Vessel of Volatility（裸の日本語名で問う）
1159,T5_en_question,Tainted Indulgence はどのフォーマットのどんなデッキで使われてる？,card=Tainted Indulgence
1160,T9_comma,モダンで《ヴィジランテ、ケイシー・ジョーンズ》と一緒によく使われるカードは？,"card=Casey Jones, Vigilante（読点入り）"
1161,T2_partner_ja,プレモダンで《火葬》と一緒に入るカードは？,card=Incinerate
1162,T3_edh_partner,統率者戦で《アゾリウスの造反者、ラヴィニア》を使うデッキでよく一緒に使われるカードは？,"card=Lavinia, Azorius Renegade"
1163,T4_legal_bare,プレモダンで苦痛の命令はまだ使える？,card=Decree of Pain（裸の日本語名で問う）
1164,T5_en_question,Embiggen はどのフォーマットのどんなデッキで使われてる？,card=Embiggen（日本語版なし）
1165,T9_comma,スタンダードで《荒削りな天才、サナール》と一緒によく使われるカードは？,"card=Sanar, Unfinished Genius // Wild Idea（読点入り）"
1166,T2_partner_ja,パイオニアで《絶望招来》と一緒に入るカードは？,card=Invoke Despair
1167,T3_edh_partner,統率者戦で《カワウソボールの精鋭、キッツァ》を使うデッキでよく一緒に使われるカードは？,"card=Kitsa, Otterball Elite"
1168,T4_legal_bare,スタンダードで共鳴するリュートはまだ使える？,card=Resonating Lute（裸の日本語名で問う）
1169,T5_en_question,Bramble Familiar // Fetch Quest はどのフォーマットのどんなデッキで使われてる？,card=Bramble Familiar // Fetch Quest（日本語版なし）
1170,T9_comma,レガシーで《悪夢滅ぼし、魁渡》と一緒によく使われるカードは？,"card=Kaito, Bane of Nightmares（読点入り）"
1171,T2_partner_ja,スタンダードで《雷神、ソー》と一緒に入るカードは？,"card=Thor, God of Thunder"
1172,T3_edh_partner,統率者戦で《祝福されたエミエル》を使うデッキでよく一緒に使われるカードは？,card=Emiel the Blessed
1173,T4_legal_bare,モダンで七つの死の種父はまだ使える？,card=Sire of Seven Deaths（裸の日本語名で問う）
1174,T5_en_question,Grim Monolith はどのフォーマットのどんなデッキで使われてる？,card=Grim Monolith
1175,T9_comma,モダンで《現実の設計者、タメシ》と一緒によく使われるカードは？,"card=Tameshi, Reality Architect（読点入り）"
1176,T2_partner_ja,モダンで《大いなる脳ミソ、クランゲ》と一緒に入るカードは？,"card=Krang, Master Mind"
1177,T3_edh_partner,統率者戦で《クロールの死の僧侶、マジレク》を使うデッキでよく一緒に使われるカードは？,"card=Mazirek, Kraul Death Priest"
1178,T4_legal_bare,プレモダンで紅蓮地獄はまだ使える？,card=Pyroclasm（裸の日本語名で問う）
1179,T5_en_question,Structural Distortion はどのフォーマットのどんなデッキで使われてる？,card=Structural Distortion
1180,T9_comma,スタンダードで《簒奪者、アーデン》と一緒によく使われるカードは？,"card=Ardyn, the Usurper（読点入り）"
1181,T2_partner_ja,プレモダンで《溶岩の飛散》と一緒に入るカードは？,card=Volcanic Spray
1182,T3_edh_partner,統率者戦で《暴走暴君、ガルタ》を使うデッキでよく一緒に使われるカードは？,"card=Ghalta, Stampede Tyrant"
1183,T4_legal_bare,ヴィンテージで渦まく知識はまだ使える？,card=Brainstorm（裸の日本語名で問う）
1184,T5_en_question,Nowhere to Run はどのフォーマットのどんなデッキで使われてる？,card=Nowhere to Run
1185,T9_comma,パイオニアで《沼地のハンター、レザーヘッド》と一緒によく使われるカードは？,"card=Leatherhead, Swamp Stalker（読点入り）"
1186,T2_partner_ja,スタンダードで《混合成体、ダイアドライン》と一緒に入るカードは？,"card=Dyadrine, Synthesis Amalgam"
1187,T3_edh_partner,統率者戦で《戦闘の神、ハルヴァール // 領界の剣》を使うデッキでよく一緒に使われるカードは？,"card=Halvar, God of Battle // Sword of the Realms"
1188,T4_legal_bare,スタンダードで傷残す批評はまだ使える？,card=Traumatic Critique（裸の日本語名で問う）
1189,T5_en_question,"Kellan, Daring Traveler // Journey On はどのフォーマットのどんなデッキで使われてる？","card=Kellan, Daring Traveler // Journey On（日本語版なし）"
1190,T9_comma,モダンで《覆いを割く者、ナーセット》と一緒によく使われるカードは？,"card=Narset, Parter of Veils（読点入り）"
1191,T2_partner_ja,パイオニアで《ニッサの誓い》と一緒に入るカードは？,card=Oath of Nissa
1192,T3_edh_partner,統率者戦で《ミッドガルの傭兵、クラウド》を使うデッキでよく一緒に使われるカードは？,"card=Cloud, Midgar Mercenary"
1193,T4_legal_bare,パイオニアで蓄え放題はまだ使える？,card=Cache Grab（裸の日本語名で問う）
1194,T5_en_question,Pirate's Pillage はどのフォーマットのどんなデッキで使われてる？,card=Pirate's Pillage
1195,T9_comma,スタンダードで《救助のけだもの、コーナ》と一緒によく使われるカードは？,"card=Kona, Rescue Beastie（読点入り）"
1196,T2_partner_ja,パウパーで《ブレス攻撃》と一緒に入るカードは？,card=Breath Weapon
1197,T3_edh_partner,統率者戦で《機械細工の学者、ロシール》を使うデッキでよく一緒に使われるカードは？,"card=Losheel, Clockwork Scholar"
1198,T4_legal_bare,パウパーで金切るときの声はまだ使える？,card=Battle Screech（裸の日本語名で問う）
1199,T5_en_question,Amulet of Vigor はどのフォーマットのどんなデッキで使われてる？,card=Amulet of Vigor
1200,T9_comma,レガシーで《進め、エオルの家の子よ！》と一緒によく使われるカードは？,card=Forth Eorlingas!（読点入り）
