id,template,question,note
801,T3_edh_partner,統率者戦で《恐怖の神、ターグリッド // ターグリッドのランタン》を使うデッキでよく一緒に使われるカードは？,"card=Tergrid, God of Fright // Tergrid's Lantern"
802,T4_legal_bare,モダンで猪の祟神、イルハグはまだ使える？,"card=Ilharg, the Raze-Boar（裸の日本語名で問う）"
803,T5_en_question,Stormshriek Feral // Flush Out はどのフォーマットのどんなデッキで使われてる？,card=Stormshriek Feral // Flush Out（日本語版なし）
804,T6_arch_lands,モダンのLiving Endでよく使われる土地を5枚挙げて,archetype=Living End
805,T9_comma,モダンで《大いなる創造者、カーン》と一緒によく使われるカードは？,"card=Karn, the Great Creator（読点入り）"
806,T1_arch_cards,スタンダードのMono Green Landfallの主要なカードを教えて,archetype=Mono Green Landfall decks=147
807,T2_partner_ja,モダンで《巨像の鎚》と一緒に入るカードは？,card=Colossus Hammer
808,T3_edh_partner,統率者戦で《厳格な者、コンラッド卿》を使うデッキでよく一緒に使われるカードは？,"card=Syr Konrad, the Grim"
809,T4_legal_bare,スタンダードで水飛沫の門はまだ使える？,card=Splash Portal（裸の日本語名で問う）
810,T5_en_question,Mox Sapphire はどのフォーマットのどんなデッキで使われてる？,card=Mox Sapphire（日本語版なし）
811,T6_arch_lands,パイオニアのArclight Phoenixでよく使われる土地を5枚挙げて,archetype=Arclight Phoenix
812,T9_comma,レガシーで《絶え間ない飢餓、ウラモグ》と一緒によく使われるカードは？,"card=Ulamog, the Ceaseless Hunger（読点入り）"
813,T1_arch_cards,スタンダードのGruul Aggroの主要なカードを教えて,archetype=Gruul Aggro decks=58
814,T2_partner_ja,モダンで《波起こし》と一緒に入るカードは？,card=Waker of Waves
815,T3_edh_partner,統率者戦で《真実の解体者、コジレック》を使うデッキでよく一緒に使われるカードは？,"card=Kozilek, Butcher of Truth"
816,T4_legal_bare,パウパーで幽霊のゆらめきはまだ使える？,card=Ghostly Flicker（裸の日本語名で問う）
817,T5_en_question,Icetill Explorer はどのフォーマットのどんなデッキで使われてる？,card=Icetill Explorer
818,T6_arch_lands,ヴィンテージのDimir Controlでよく使われる土地を5枚挙げて,archetype=Dimir Control
819,T9_comma,モダンで《絶え間ない飢餓、ウラモグ》と一緒によく使われるカードは？,"card=Ulamog, the Ceaseless Hunger（読点入り）"
820,T1_arch_cards,ヴィンテージのDimir Controlの主要なカードを教えて,archetype=Dimir Control decks=120
821,T2_partner_ja,プレモダンで《幻視の魔除け》と一緒に入るカードは？,card=Vision Charm
822,T3_edh_partner,統率者戦で《解き放たれし王、ブミ》を使うデッキでよく一緒に使われるカードは？,"card=Bumi, Unleashed"
823,T4_legal_bare,モダンで発熱の儀式はまだ使える？,card=Pyretic Ritual（裸の日本語名で問う）
824,T5_en_question,Time Vault はどのフォーマットのどんなデッキで使われてる？,card=Time Vault（日本語版なし）
825,T6_arch_lands,レガシーのAlurenでよく使われる土地を5枚挙げて,archetype=Aluren
826,T9_comma,モダンで《大いなる脳ミソ、クランゲ》と一緒によく使われるカードは？,"card=Krang, Master Mind（読点入り）"
827,T1_arch_cards,ヴィンテージのBazaar Aggroの主要なカードを教えて,archetype=Bazaar Aggro decks=67
828,T2_partner_ja,スタンダードで《重厚な世界踏破車》と一緒に入るカードは？,card=Lumbering Worldwagon
829,T3_edh_partner,統率者戦で《原初の飢え、ガルタ》を使うデッキでよく一緒に使われるカードは？,"card=Ghalta, Primal Hunger"
830,T4_legal_bare,プレモダンでゴブリンの女看守はまだ使える？,card=Goblin Matron（裸の日本語名で問う）
831,T5_en_question,Reality Smasher はどのフォーマットのどんなデッキで使われてる？,card=Reality Smasher
832,T6_arch_lands,スタンダードのIzzet Spellementalsでよく使われる土地を5枚挙げて,archetype=Izzet Spellementals
833,T9_comma,モダンで《死の飢えのタイタン、クロクサ》と一緒によく使われるカードは？,"card=Kroxa, Titan of Death's Hunger（読点入り）"
834,T1_arch_cards,スタンダードのMardu Aggroの主要なカードを教えて,archetype=Mardu Aggro decks=71
835,T2_partner_ja,スタンダードで《キヨシ島の大ウナギ》と一緒に入るカードは？,card=The Unagi of Kyoshi Island
836,T3_edh_partner,統率者戦で《再鍛の刃、ラエリア》を使うデッキでよく一緒に使われるカードは？,"card=Laelia, the Blade Reforged"
837,T4_legal_bare,パイオニアで致命的な一押しはまだ使える？,card=Fatal Push（裸の日本語名で問う）
838,T5_en_question,Goblin Sharpshooter はどのフォーマットのどんなデッキで使われてる？,card=Goblin Sharpshooter
839,T6_arch_lands,レガシーのInitiative Stompyでよく使われる土地を5枚挙げて,archetype=Initiative Stompy
840,T9_comma,ヴィンテージで《トラブルメーカー、ラフとマイキー》と一緒によく使われるカードは？,"card=Raph & Mikey, Troublemakers（読点入り）"
841,T1_arch_cards,モダンのUR Aggroの主要なカードを教えて,archetype=UR Aggro decks=69
