id,template,question,note
1201,T2_partner_ja,モダンで《クウィリーオン・レインジャー》と一緒に入るカードは？,card=Quirion Ranger
1202,T3_edh_partner,統率者戦で《生ける聖人、セレスティン》を使うデッキでよく一緒に使われるカードは？,"card=Celestine, the Living Saint"
1203,T4_legal_bare,モダンで終末はまだ使える？,card=Terminus（裸の日本語名で問う）
1204,T5_en_question,Deadly Cover-Up はどのフォーマットのどんなデッキで使われてる？,card=Deadly Cover-Up
1205,T9_comma,レガシーで《時を解す者、テフェリー》と一緒によく使われるカードは？,"card=Teferi, Time Raveler（読点入り）"
1206,T2_partner_ja,ヴィンテージで《ポータブル・ホール》と一緒に入るカードは？,card=Portable Hole
1207,T3_edh_partner,統率者戦で《不死身、スクイー》を使うデッキでよく一緒に使われるカードは？,"card=Squee, the Immortal"
1208,T4_legal_bare,スタンダードで一繋がりの根はまだ使える？,card=Shared Roots（裸の日本語名で問う）
1209,T5_en_question,Hawkeye's Bow はどのフォーマットのどんなデッキで使われてる？,card=Hawkeye's Bow
1210,T9_comma,モダンで《大いなる脳ミソ、クランゲ》と一緒によく使われるカードは？,"card=Krang, Master Mind（読点入り）"
1211,T2_partner_ja,スタンダードで《アマリア・べナヴィデス・アギーレ》と一緒に入るカードは？,card=Amalia Benavides Aguirre
1212,T3_edh_partner,統率者戦で《アクームの怒り、モラウグ》を使うデッキでよく一緒に使われるカードは？,"card=Moraug, Fury of Akoum"
1213,T4_legal_bare,パイオニアでカンフーの達人、シャン・チーはまだ使える？,"card=Shang-Chi, Master of Kung Fu（裸の日本語名で問う）"
1214,T5_en_question,Seam Rip はどのフォーマットのどんなデッキで使われてる？,card=Seam Rip
1215,T9_comma,スタンダードで《暗黒騎士、セシル》と一緒によく使われるカードは？,"card=Cecil, Dark Knight // Cecil, Redeemed Paladin（読点入り）"
1216,T2_partner_ja,モダンで《下賤の教主》と一緒に入るカードは？,card=Ignoble Hierarch
1217,T3_edh_partner,統率者戦で《ヨーグモスの息子、ケリク》を使うデッキでよく一緒に使われるカードは？,"card=K'rrik, Son of Yawgmoth"
1218,T4_legal_bare,レガシーで有翼の叡智、ナドゥはまだ使える？,"card=Nadu, Winged Wisdom（裸の日本語名で問う）"
