id,template,question,note
901,T5_en_question,Opposition Agent はどのフォーマットのどんなデッキで使われてる？,card=Opposition Agent
902,T6_arch_lands,ヴィンテージのFleshraker MUDでよく使われる土地を5枚挙げて,archetype=Fleshraker MUD
903,T9_comma,モダンで《新たな夜明け、ケトラモーズ》と一緒によく使われるカードは？,"card=Ketramose, the New Dawn（読点入り）"
904,T1_arch_cards,ヴィンテージのDimir Controlの主要なカードを教えて,archetype=Dimir Control decks=120
905,T2_partner_ja,ヴィンテージで《マイトストーンとウィークストーン》と一緒に入るカードは？,card=The Mightstone and Weakstone
906,T3_edh_partner,統率者戦で《敬虔な新米、デニック // 敬虔な心霊、デニック》を使うデッキでよく一緒に使われるカードは？,"card=Dennick, Pious Apprentice // Dennick, Pious Apparition"
907,T4_legal_bare,プレモダンでフィンドホーンのエルフはまだ使える？,card=Fyndhorn Elves（裸の日本語名で問う）
908,T5_en_question,Scalding Viper // Steam Clean はどのフォーマットのどんなデッキで使われてる？,card=Scalding Viper // Steam Clean（日本語版なし）
909,T6_arch_lands,モダンのDevoted Comboでよく使われる土地を5枚挙げて,archetype=Devoted Combo
910,T9_comma,パイオニアで《素早き救済者、アン》と一緒によく使われるカードは？,"card=Aang, Swift Savior // Aang and La, Ocean's Fury（読点入り）"
911,T1_arch_cards,レガシーのElvesの主要なカードを教えて,archetype=Elves decks=53
912,T2_partner_ja,パウパーで《タミヨウの保管》と一緒に入るカードは？,card=Tamiyo's Safekeeping
913,T3_edh_partner,統率者戦で《ヴェンディリオン三人衆》を使うデッキでよく一緒に使われるカードは？,card=Vendilion Clique
914,T4_legal_bare,プレモダンで紅蓮光電の柱はまだ使える？,card=Pyrostatic Pillar（裸の日本語名で問う）
915,T5_en_question,Wall of Roots はどのフォーマットのどんなデッキで使われてる？,card=Wall of Roots
916,T6_arch_lands,ヴィンテージのDoomsdayでよく使われる土地を5枚挙げて,archetype=Doomsday
917,T9_comma,モダンで《悪戯の神、ロキ》と一緒によく使われるカードは？,"card=Loki, God of Mischief（読点入り）"
918,T1_arch_cards,レガシーのUB Reanimatorの主要なカードを教えて,archetype=UB Reanimator decks=54
919,T2_partner_ja,パウパーで《黒薔薇の棘》と一緒に入るカードは？,card=Thorn of the Black Rose
920,T3_edh_partner,統率者戦で《迷える黒魔道士、ビビ》を使うデッキでよく一緒に使われるカードは？,card=Vivi Ornitier
921,T4_legal_bare,パウパーで北方の大鷲はまだ使える？,card=Eagles of the North（裸の日本語名で問う）
922,T5_en_question,Fury はどのフォーマットのどんなデッキで使われてる？,card=Fury
923,T6_arch_lands,レガシーのInitiative Stompyでよく使われる土地を5枚挙げて,archetype=Initiative Stompy
924,T9_comma,スタンダードで《タフなタートル、ラファエロ》と一緒によく使われるカードは？,"card=Raphael, Tough Turtle（読点入り）"
925,T1_arch_cards,パウパーのWeenie Whiteの主要なカードを教えて,archetype=Weenie White decks=81
926,T2_partner_ja,レガシーで《エルドラージの戦線破り》と一緒に入るカードは？,card=Eldrazi Linebreaker
927,T3_edh_partner,統率者戦で《遵法長、バラル》を使うデッキでよく一緒に使われるカードは？,"card=Baral, Chief of Compliance"
928,T4_legal_bare,プレモダンでウークタビー・オランウータンはまだ使える？,card=Uktabi Orangutan（裸の日本語名で問う）
929,T5_en_question,Seasoned Pyromancer はどのフォーマットのどんなデッキで使われてる？,card=Seasoned Pyromancer
930,T6_arch_lands,モダンのUR Aggroでよく使われる土地を5枚挙げて,archetype=UR Aggro
931,T9_comma,モダンで《猪の祟神、イルハグ》と一緒によく使われるカードは？,"card=Ilharg, the Raze-Boar（読点入り）"
932,T1_arch_cards,モダンのScepter Chantの主要なカードを教えて,archetype=Scepter Chant decks=43
933,T2_partner_ja,スタンダードで《鋭い目の管理者》と一緒に入るカードは？,card=Keen-Eyed Curator
934,T3_edh_partner,統率者戦で《カンフーの達人、シャン・チー》を使うデッキでよく一緒に使われるカードは？,"card=Shang-Chi, Master of Kung Fu"
935,T4_legal_bare,パウパーで聖なる猫はまだ使える？,card=Sacred Cat（裸の日本語名で問う）
936,T5_en_question,Rest in Peace はどのフォーマットのどんなデッキで使われてる？,card=Rest in Peace
937,T6_arch_lands,レガシーのArtifacts Blueでよく使われる土地を5枚挙げて,archetype=Artifacts Blue
938,T9_comma,モダンで《飢餓の潮流、グリスト》と一緒によく使われるカードは？,"card=Grist, the Hunger Tide（読点入り）"
939,T1_arch_cards,モダンのCreativityの主要なカードを教えて,archetype=Creativity decks=43
940,T2_partner_ja,パウパーで《屍肉喰らい》と一緒に入るカードは？,card=Carrion Feeder
941,T3_edh_partner,統率者戦で《棘を播く者、逆棘のビル》を使うデッキでよく一緒に使われるカードは？,"card=Bristly Bill, Spine Sower"
942,T4_legal_bare,パウパーでギルドパクトの守護者はまだ使える？,card=Guardian of the Guildpact（裸の日本語名で問う）
943,T5_en_question,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger はどのフォーマットのどんなデッキで使われてる？","card=Ajani, Nacatl Pariah // Ajani, Nacatl Avenger（日本語版なし）"
944,T6_arch_lands,レガシーのShow and Tellでよく使われる土地を5枚挙げて,archetype=Show and Tell
945,T9_comma,スタンダードで《光に導かれし者、ハリーヤ》と一緒によく使われるカードは？,"card=Haliya, Guided by Light（読点入り）"
946,T1_arch_cards,スタンダードのMono Green Aggroの主要なカードを教えて,archetype=Mono Green Aggro decks=54
947,T2_partner_ja,パイオニアで《永劫の好奇心》と一緒に入るカードは？,card=Enduring Curiosity
948,T3_edh_partner,統率者戦で《墓場波、ムルドローサ》を使うデッキでよく一緒に使われるカードは？,"card=Muldrotha, the Gravetide"
949,T4_legal_bare,レガシーで地底街の密告人はまだ使える？,card=Undercity Informer（裸の日本語名で問う）
