id,template,question,note
1,T10_noja,Sagu Wildling // Roost Seek と一緒に使われるカードは？,card=Sagu Wildling // Roost Seek（日本語版なし）
2,T1_arch_cards,スタンダードのUR Aggroの主要なカードを教えて,archetype=UR Aggro decks=72
3,T2_partner_ja,プレモダンで《稲妻》と一緒に入るカードは？,card=Lightning Bolt
4,T3_edh_partner,統率者戦で《落葉の道三》を使うデッキでよく一緒に使われるカードは？,card=Dosan the Falling Leaf
5,T4_legal_bare,スタンダードで夜明けの空、猗旺はまだ使える？,"card=Ao, the Dawn Sky（裸の日本語名で問う）"
6,T5_en_question,Ichor Wellspring はどのフォーマットのどんなデッキで使われてる？,card=Ichor Wellspring
7,T6_arch_lands,レガシーのSneak Showでよく使われる土地を5枚挙げて,archetype=Sneak Show
8,T7_top_type,ヴィンテージで今いちばん採用率の高いプレインズウォーカーは？上位5枚,type=Planeswalker
9,T8_dfc,《墓地の侵入者》を使うデッキはパイオニアでどれくらいある？主なカードも教えて,card=Graveyard Trespasser // Graveyard Glutton（両面/分割）
10,T9_comma,レガシーで《大いなる創造者、カーン》と一緒によく使われるカードは？,"card=Karn, the Great Creator（読点入り）"
11,T10_noja,Candelabra of Tawnos と一緒に使われるカードは？,card=Candelabra of Tawnos（日本語版なし）
12,T1_arch_cards,モダンのEldrazi Rampの主要なカードを教えて,archetype=Eldrazi Ramp decks=156
13,T2_partner_ja,パウパーで《秘密を掘り下げる者》と一緒に入るカードは？,card=Delver of Secrets // Insectile Aberration
14,T3_edh_partner,統率者戦で《ひとつ目の暴君、カラジカール》を使うデッキでよく一緒に使われるカードは？,"card=Karazikar, the Eye Tyrant"
15,T4_legal_bare,モダンで対抗呪文はまだ使える？,card=Counterspell（裸の日本語名で問う）
16,T5_en_question,Negate はどのフォーマットのどんなデッキで使われてる？,card=Negate
17,T6_arch_lands,レガシーのUR Aggroでよく使われる土地を5枚挙げて,archetype=UR Aggro
18,T7_top_type,ヴィンテージで今いちばん採用率の高いソーサリーは？上位5枚,type=Sorcery
19,T8_dfc,《精鋭の迎撃手》を使うデッキはパウパーでどれくらいある？主なカードも教えて,card=Elite Interceptor // Rejoinder（両面/分割）
20,T9_comma,スタンダードで《再点火、アシュリング》と一緒によく使われるカードは？,"card=Ashling, Rekindled // Ashling, Rimebound（読点入り）"
