low	on	A_no_ja	Afterlife Insurance		日本語版なし	correct	3
low	on	A_no_ja	Ezio, Blade of Vengeance		日本語版なし	correct	3
low	on	A_no_ja	Underground Sea		日本語版なし	correct	3
low	on	A_no_ja	Shadow the Hedgehog		日本語版なし	correct	4
low	on	A_no_ja	Clown Car		日本語版なし	correct	3
low	on	A_no_ja	Nazgûl Battle-Mace		日本語版なし	correct	3
low	on	A_no_ja	Greymond, Avacyn's Stalwart		日本語版なし	correct	3
low	on	A_no_ja	Achilles Davenport		日本語版なし	correct	3
low	on	A_no_ja	Aragorn, Hornburg Hero		日本語版なし	correct	3
low	on	A_no_ja	Rooftop Bypass		日本語版なし	correct	3
low	on	B_hob	Large Bear	大きな熊	大きな熊	correct	3
low	on	B_hob	Dáin, Lord of the Iron Hills	くろがね連山の統治者、ダーイン	くろがね連山の統治者、ダーイン	correct	3
low	on	B_hob	Elven Raft-Steerer	エルフのいかだの舵取り	エルフのいかだの舵取り	correct	3
low	on	B_hob	Dwarven Mauler	ドワーフの打ち壊し屋	ドワーフの打ち壊し屋	correct	3
low	on	B_hob	Goblin Plate Mail	ゴブリンの板金鎧	ゴブリンの板金鎧	correct	3
low	on	B_hob	Wilderland Scrounger	荒れ地の国のたかり屋	荒れ地の国のたかり屋	correct	3
low	on	B_hob	Old Fat Spider	でぶの年寄りクモ	でぶの年寄りクモ	correct	3
low	on	B_hob	The Queen of Dale	谷間の国の王妃	谷間の国の王妃	correct	3
low	on	B_hob	Warg Tactics	魔狼の戦術	魔狼の戦術	correct	3
low	on	B_hob	Quarrel	押し問答	押し問答	correct	3
low	on	C_multi	Thousand Moons Smithy // Barracks of the Thousand	千の月の鍛冶場 // 千の兵舎	千の月の鍛冶場 // 千の兵舎	correct	3
low	on	C_multi	Razorgrass Ambush // Razorgrass Field	剃刀草の待ち伏せ // 剃刀草の原野	剃刀草の待ち伏せ // 剃刀草の原野	correct	3
low	on	C_multi	Jwari Disruption // Jwari Ruins	ジュワー島の撹乱 // ジュワー島の遺跡	ジュワー島の撹乱 // ジュワー島の遺跡	correct	3
low	on	C_multi	Wandering Archaic // Explore the Vastlands	さまようアルカイック // 大界の探検	さまようアルカイック // 大界の探検	correct	3
low	on	C_multi	Riverglide Pathway // Lavaglide Pathway	河川滑りの小道 // 溶岩滑りの小道	河川滑りの小道 // 溶岩滑りの小道	correct	3
low	on	C_multi	Waterlogged Teachings // Inundated Archive	水浸しの教え // 冠水した書庫	水浸しの教え // 冠水した書庫	correct	3
low	on	C_multi	Shatterskull Smashing // Shatterskull, the Hammer Pass	髑髏砕きの一撃 // 鎚の山道、髑髏砕き	髑髏砕きの一撃 // 鎚の山道、髑髏砕き	correct	3
low	on	C_multi	Etali, Primal Conqueror // Etali, Primal Sickness	原初の征服者、エターリ // 原初の病、エターリ	原初の征服者、エターリ // 原初の病、エターリ	correct	3
low	on	D_famous	Skullclamp	頭蓋骨絞め	頭蓋骨絞め	correct	3
low	on	D_famous	Steam Vents	蒸気孔	蒸気孔	correct	3
low	on	D_famous	Garruk's Uprising	ガラクの蜂起	ガラクの蜂起	correct	3
low	on	D_famous	Propaganda	プロパガンダ	プロパガンダ	correct	3
low	on	D_famous	Deadly Rollick	致命的なはしゃぎ回り	致命的なはしゃぎ回り	correct	3
low	on	D_famous	Nature's Lore	自然の知識	自然の知識	correct	3
low	on	E_nonliteral	Cori-Steel Cutter	コーリ鋼の短刀	コーリ鋼の短刀	correct	1
low	on	E_nonliteral	Fable of the Mirror-Breaker // Reflection of Kiki-Jiki	鏡割りの寓話 // キキジキの鏡像	鏡割りの寓話 // キキジキの鏡像	correct	3
low	on	E_nonliteral	Psychic Frog	超能力蛙	超能力蛙	correct	3
low	on	E_nonliteral	Up the Beanstalk	豆の木をのぼれ	豆の木をのぼれ	correct	3
low	on	E_nonliteral	Ocelot Pride	オセロットの群れ	オセロットの群れ	correct	3
low	on	E_nonliteral	Orcish Bowmasters	オークの弓使い	オークの弓使い	correct	3
low	on	E_nonliteral	Sheoldred, the Apocalypse	黙示録、シェオルドレッド	黙示録、シェオルドレッド	correct	3
low	on	E_nonliteral	Phlage, Titan of Fire's Fury	火の怒りのタイタン、フレージ	火の怒りのタイタン、フレージ	correct	3
low	off	A_no_ja	Afterlife Insurance		不明	unknown	1
low	off	A_no_ja	Ezio, Blade of Vengeance		復讐の刃、エツィオ	wrong	1
low	off	A_no_ja	Underground Sea		Underground Sea	wrong	1
low	off	A_no_ja	Shadow the Hedgehog		不明	unknown	1
low	off	A_no_ja	Clown Car		日本語版なし	correct	1
low	off	A_no_ja	Nazgûl Battle-Mace		ナズグルの戦鎚	wrong	1
low	off	A_no_ja	Greymond, Avacyn's Stalwart		アヴァシンの堅牢、グレイモンド	wrong	1
low	off	A_no_ja	Achilles Davenport		アキレス・ダヴェンポート	wrong	1
